name,jaccard,f1,recall,precision,accuracy
01_test_0,0.678783895960155,0.8086614335455425,0.842057839183043,0.7778130078078554,0.9645729064941406
02_test_0,0.7161005878510778,0.8345671494091004,0.8166784610227569,0.8532570628064441,0.9668388366699219
03_test_0,0.6197722531887974,0.7652585133109548,0.6967553436875288,0.8487005385155701,0.9575843811035156
04_test_0,0.6864353776535079,0.8140666244900631,0.7795930305436009,0.8517301196019356,0.9674873352050781
05_test_0,0.6506969919295671,0.7883905951375617,0.723557005914746,0.8659864277693697,0.9636764526367188
06_test_0,0.6446526427435036,0.7839377458672799,0.7173938702443247,0.8640887119704294,0.9616584777832031
07_test_0,0.663905987688864,0.7980090132508239,0.7406359247544532,0.8650172556263063,0.9656333923339844
08_test_0,0.6324470800769745,0.7748454302692039,0.7148120200630299,0.8458871730223763,0.9642982482910156
09_test_0,0.6396561795877493,0.7802320846905536,0.7244801512287334,0.8452801058667843,0.9670562744140625
10_test_0,0.6578315151037769,0.7936047892811326,0.779712445149846,0.8080011609907121,0.96685791015625
11_test_0,0.6520070308856764,0.7893513994745185,0.7789825568936699,0.8,0.9629936218261719
12_test_0,0.6679256800579909,0.8009058053890847,0.7782618359635475,0.8249069405833294,0.966796875
13_test_0,0.666826560679778,0.8001151126459465,0.7586932792764697,0.8463210993216211,0.9629058837890625
14_test_0,0.674580354367423,0.8056709283708843,0.8172574495127807,0.7944083462981605,0.9680519104003906
15_test_0,0.6657724408107648,0.7993558117538793,0.8406365933652347,0.7619395711500975,0.9700584411621094
16_test_0,0.6838510445049955,0.812246483127643,0.794823072375644,0.8304508956145769,0.9668045043945312
17_test_0,0.6459855440515726,0.7849224999406585,0.7432347388294525,0.8315646532213449,0.9654350280761719
18_test_0,0.6737685691946833,0.805091673478921,0.8318050193050193,0.780040733197556,0.9681663513183594
19_test_0,0.7140453219654476,0.833169710059559,0.876641263428519,0.7938058615672418,0.9708290100097656
20_test_0,0.66060655470406,0.7956207963081152,0.8396021137705937,0.7560179137898861,0.9682388305664062
global,0.6647825806503183,0.7984011799900714,0.7797807007256496,0.8222608789360798,0.965797233581543
